nama,rating,gp,point_per_game,rebound_per_game,assist_per_game
Jase Richardson,1.98,19,4.6,1.2,1.2
Jevon Carter,1.97,14,6.9,1.4,1.2
Moussa Cisse,1.93,19,3.1,3.5,0.2
Cam Christie,1.82,18,4.1,2.0,0.6
Jeremiah Robinson-Earl,1.80,17,4.6,5.2,0.7
Garrison Mathews,1.77,15,5.2,1.1,0.7
KJ Simpson,1.73,14,6.0,2.1,2.4
Kyle Anderson,1.71,9,6.7,2.6,3.1
Gabe Vincent,1.69,14,4.7,0.9,1.4
Kobe Brown,1.67,20,3.5,2.0,0.9
Chris Paul,1.65,16,2.9,1.8,3.3
Jae'Sean Tate,1.63,16,3.0,1.6,0.6
Jalen Wilson,1.62,20,5.2,1.1,0.6
Julian Phillips,1.60,22,2.8,1.4,0.3
Dalen Terry,1.58,16,3.2,1.8,1.3
Pat Connaughton,1.57,15,3.6,1.7,0.5
Duop Reath,1.57,24,3.1,0.8,0.3
Ariel Hukporti,1.55,18,1.4,2.6,0.6
Jordan Hawkins,1.55,24,5.0,1.7,0.8
Gary Harris,1.54,21,2.4,1.4,1.1
Larry Nance Jr.,1.53,16,3.6,2.8,1.3
Brooks Barnhizer,1.53,19,1.5,1.9,0.4
Jordan McLaughlin,1.51,12,2.9,0.8,1.0
Ethan Thompson,1.45,10,5.6,2.0,1.6
David Jones-Garcia,1.42,10,3.2,1.2,1.8
Ben Saraf,1.40,12,5.4,1.6,2.8
Chaz Lanier,1.39,13,3.3,1.1,0.8
Keshad Johnson,1.34,12,3.5,2.5,0.1
Zeke Nnaji,1.28,18,1.9,1.4,0.3
Taurean Prince,1.28,8,6.1,1.6,1.0
Jordan Miller,1.28,8,6.4,2.8,1.1
Mason Plumlee,1.26,14,1.9,2.9,1.1
Xavier Tillman,1.24,11,2.8,2.2,0.5
Caleb Martin,1.23,24,1.7,1.6,1.0
Blake Wesley,1.20,6,6.0,2.3,3.2
Yanic Konan Niederhauser,1.16,13,2.8,1.4,0.2
Gregory Jackson,1.16,10,4.4,2.5,0.3
Chris Youngblood,1.15,21,1.8,0.9,0.3
Dereck Lively II,1.13,7,4.3,5.3,1.9
Carter Bryant,1.13,21,2.5,1.7,0.1
Lindy Waters III,1.13,15,2.4,1.0,0.4
Isaiah Livers,1.12,13,2.5,2.2,0.4
Kevon Looney,1.12,12,2.7,3.9,1.4
JD Davison,1.12,12,1.7,0.3,0.9
Jalen Green,1.06,2,15.5,2.0,2.0
Malaki Branham,1.05,14,3.6,1.8,0.8
Julian Strawther,1.04,13,3.5,1.2,0.5
Rasheer Fleming,1.01,14,2.7,1.2,0.1
Josh Green,0.99,6,5.2,1.8,1.2
De'Anthony Melton,0.98,7,6.3,1.0,2.0
Dylan Cardwell,0.97,7,3.4,4.4,0.7
Javon Small,0.97,9,3.8,1.1,3.2
Luke Travers,0.94,12,2.3,2.0,0.8
Johnny Furphy,0.93,12,3.8,2.3,0.3
Amir Coffey,0.84,21,1.4,0.7,0.4
Jamir Watkins,0.83,11,3.5,2.6,0.5
Eric Gordon,0.83,6,5.5,0.3,0.5
Matisse Thybulle,0.83,4,5.0,1.0,0.8
Maxi Kleber,0.82,13,1.9,1.8,0.6
RayJ Dennis,0.79,14,4.6,1.6,1.9
Jeff Green,0.78,11,2.2,0.5,0.1
Bradley Beal,0.75,6,8.2,0.8,1.7
Bronny James,0.72,15,1.7,0.7,1.5
Mohamed Diawara,0.70,21,1.1,0.7,0.4
Tolu Smith,0.65,2,8.5,5.5,1.0
Rayan Rupert,0.62,23,1.7,1.6,0.4
Obi Toppin,0.61,3,14.0,6.7,1.7
Andre Jackson Jr.,0.58,14,1.4,0.9,1.2
Caleb Houstan,0.57,8,2.5,0.6,0.3
Joan Beringer,0.56,9,2.0,1.3,0.0
Hansen Yang,0.53,14,2.7,1.8,0.9
Devin Carter,0.53,9,3.6,1.4,1.4
Chris Boucher,0.53,8,2.3,2.3,0.4
Nolan Traore,0.51,8,2.5,1.0,1.5
Thanasis Antetokounmpo,0.50,10,1.8,0.4,0.0
Jonathan Mogbo,0.49,11,1.2,1.4,0.5
Adou Thiero,0.49,12,1.3,0.8,0.3
Leonard Miller,0.46,9,1.7,1.2,0.4
Cody Williams,0.45,17,2.6,1.1,0.6
Kasparas Jakucionis,0.42,5,5.8,2.0,1.0
Antonio Reeves,0.41,6,3.5,0.8,0.3
Nigel Hayes-Davis,0.38,19,1.4,1.3,0.4
Pete Nance,0.37,8,2.3,0.9,0.1
Seth Curry,0.37,2,7.0,2.0,1.5
Bismack Biyombo,0.37,10,0.9,0.7,0.3
Emanuel Miller,0.36,5,3.0,0.6,0.8
